Id,neg,neu,pos,compound,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,target_compound
310,0.0,0.813,0.187,0.7351,5.0,True,"02 23, 2014",A1VS280PPP7NJU,0061900621,{'Format:': ' Hardcover'},Linda,I have a niece that is going to be a big sister.  I thought it would be fun for her.  I hope it prepares her for being a big sister and not the only child.,Fun for big sister.,1393113600,,,0.7403128205128204
334,0.0,0.829,0.171,0.7343,4.0,True,"09 3, 2013",A3RHIXYSL7H9SB,0061900621,{'Format:': ' Hardcover'},Amazon Customer,"We got this book for our daughter, because soon I will be delivering our other baby. She is not as into the book as I would like. But it is still a very cute book.",Having another baby,1378166400,,,0.7403128205128204
757,0.0,0.834,0.166,0.6988,5.0,True,"07 30, 2013",A29GSXAO8ZIXQT,0062110721,{'Format:': ' Paperback'},Kimberly Sarasin,"Bought the set of Pete the Cat books for my grandchildren and they (ages, 6,5 and 3) love them! These are a must for
Young readers!",My Grandchildren love these books!,1375142400,,,0.6954635838150289
692,0.0,0.637,0.363,0.6908,3.0,True,"08 12, 2014",A3GEKEN2QY0N26,0062110721,{'Format:': ' Paperback'},Marly,"Cute book for beach.  Thin and paperback, but nice for beach trip.",Cute book,1407801600,,,0.6954635838150289
898,0.0,0.831,0.169,0.7717,5.0,True,"10 2, 2016",A3QGPBO7XF0ZPH,0142405809,{'Format:': ' Paperback'},Michael B,What a cute story this is. Our two year old granddaughter loves it and asks for us to read it again and again.  I will have to say it might actually become a classic with Mabel the Whale.,Whale of a Good Story!,1475366400,,,0.7704413597733711
946,0.0,0.774,0.226,0.7657,5.0,True,"04 9, 2016",A1CXCI0P5LWMTM,0142405809,{'Format:': ' Paperback'},Rene Steenkamp,"This is, without a doubt, my daughter's favourite story. And for a real treat she likes to read this book whilst listening to the audiobook. Our favourite Julia Donaldson by far.",My daughter's favourite,1460160000,,,0.7704413597733711
1474,0.08,0.773,0.147,0.743,5.0,False,"09 30, 2013",AFICF7DKHTQ87,014242286X,{'Format:': ' Hardcover'},Amazon Customer,"This book kept me turning page after page with the interesting story plot and the amusing & sharp witted dialogue / narration of Willow Chance and her counselor Dell Duke.

The story is of Willow Chance, a recent adopted orphan, (complicated isn't it) - she is an orphan who was adopted but her adopted parents died in a car accident. She is a genius in her own ways - obsessed and in love with the number 7 as she was born on the 7th day of the 7th month amongst other things, and was fixated with her plants.

Follow her in her journey as she continues her life without her parents and subsequently getting another set of guardians.

Recommended for young readers age 7 and up. =)",The Number 7,1380499200,,,0.7434578461538461
1360,0.0,0.687,0.313,0.743,4.0,True,"11 24, 2014",ASPVMVNDC5ZB9,014242286X,{'Format:': ' Kindle Edition'},Cain McCleary,An inspirational story about the difference one person can make in the lives of many. Well worth the read.,Excellent,1416787200,,,0.7434578461538461
1822,0.097,0.729,0.173,0.7351,5.0,True,"08 31, 2015",AMYTL79JMGQ6D,0147510481,{'Format:': ' Kindle Edition'},Mary Ann,"I, too, have to join the other reviewers and give this book five stars. Not only is the story engaging, the author does the best job I have ever seen in a novel for children of describing the dilemma of abused children and the tenacity of the bond with the abusive parent. The story of Ada and Jamie, along with Susan, just glows as they crawl toward normality in a challenging situation. It would be a wonderful read-a-loud for fourth graders, too.",Vibrantly encouraging,1440979200,2,,0.7379704761904762
1685,0.0,0.53,0.47,0.7351,5.0,True,"09 15, 2016",A1FBMN8AJ6BAXW,0147510481,{'Format:': ' Paperback'},lgrinaman,Sent as  a gift and have heard she enjoyed it.,Sent as a gift and have heard she enjoyed it.,1473897600,,,0.7379704761904762
2152,0.0,0.31,0.69,0.7713,5.0,True,"01 3, 2015",A1TYZELBASOGGY,0147515823,{'Format:': ' Hardcover'},Brigitte,Beautiful book. I highly recommend it.,Five Stars,1420243200,,,0.7690883435582823
2061,0.063,0.719,0.218,0.7717,4.0,False,"07 21, 2015",A1S3HHMAB9LLXK,0147515823,{'Format:': ' Hardcover'},Matthew D&#039;Souza,"A series of beautiful poetic style vignettes from Jacqueline Woodson's life. She honestly addresses the racial issues and problems she has experienced, seen, and heard about as she grew up. Recommend this to YA audiences everywhere.",A Series of Beautiful Poetic Vignettes about Her Upbringing,1437436800,,,0.7690883435582823
2439,0.0,0.684,0.316,0.7184,5.0,True,"04 21, 2015",ASJ0BCYCBPKT6,0307931528,{'Format:': ' Board book'},Kelly D,"A fun book for potty training and big girls. Board book. Colorful, smart graphics and text.",3 year old loves this book,1429574400,,,0.7187645259938839
2241,0.0,0.863,0.137,0.7206,5.0,True,"06 2, 2017",A2H7F3NAOVE0AN,0307931528,{'Format:': ' Board book'},Jenny,My daughter is just starting potty training and she LOVES this book.  We have read it dozens of times and she knows it by heart.  It's making her want to be a big girl so she can wear big girl panties!,My daughter is just starting potty training and she LOVES ...,1496361600,,,0.7187645259938839
3248,0.0,0.819,0.181,0.7506,5.0,True,"10 30, 2013",A1P54HSZTBP03S,0312346069,{'Format:': ' Board book'},Mimi Crane,I ordered this book for my Grandson - who was just a baby at the time.  My daughter says he loves all of his books and found this one to be special for him.,Great Children's Book,1383091200,,,0.7528412322274882
